"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_03_BOND_BIZUSE_PTR_OWN_X","SK_03_BOND_BIZUSE_LEASEARRANGE_X","SK_03_BOND_BIZUSE_MGMT_KONTR_X","SK_03_BOND_BIZUSE_RSRCH_AGREE_X","BondCounselRoutinelyEngaged","PostIssuanceComplianceProcdrs","SK_03_BOND_ISSUE_REFERENCE_NUM","SK_03_BOND_BIZUSE_PRIVATE_SEC_X","SK_03_BOND_BIZUSE_CHANGE_X","SK_03_BOND_BIZUSE_REMEDIATED_X","SK_03_BOND_BIZUSE_PCT_BY_OTH","SK_03_BOND_BIZUSE_PCT_TOT_L45","SK_03_BOND_BIZUSE_PCT_UBIZ","SK_03_BOND_BIZUSE_REMEDIAL_ACT_X","SK_03_BOND_BIZUSE_COUNS_KONTR_X"
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","false","true","false","false",NA,NA,"A","false","false","false","0",NA,NA,"false",NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","false","true","true","false",NA,NA,"B","false","false","false","0",NA,NA,"false","true"
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","0","0","0","0",NA,NA,"A","0","0","1",NA,NA,NA,NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","false","false","false","true","true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","false","false","false","true","true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","false","false","false","true","true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201903129349302130","620753887","COUNTRY MUSIC FOUNDATION INC","2018","990","https://s3.amazonaws.com/irs-form-990/201903129349302130_public.xml","0","0","0","0",NA,NA,"A","0","0","0",NA,NA,NA,NA,NA
"201340449349301169","941156258","CALIFORNIA ACADEMY OF SCIENCES","2011","990","https://s3.amazonaws.com/irs-form-990/201340449349301169_public.xml","false","false","false","false",NA,"true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201721179349301402","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201721179349301402_public.xml","0","0","0","0",NA,NA,"A","0","0","1",NA,NA,NA,NA,NA
"201410739349300906","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2012","990","https://s3.amazonaws.com/irs-form-990/201410739349300906_public.xml","0","0","1","0",NA,NA,"A","0","0","0","0.01120","0.01620","0.00500",NA,"1"
"201903019349300230","421415581","SALISBURY HOUSE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/201903019349300230_public.xml","0","0","0","0",NA,NA,"A","0","0","0",NA,NA,NA,NA,NA
"201801319349302585","941156258","CALIFORNIA ACADEMY OF SCIENCES","2016","990","https://s3.amazonaws.com/irs-form-990/201801319349302585_public.xml","false","false","false","false",NA,NA,"A","false","false","true","0",NA,NA,"false",NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","false","false","true","false",NA,NA,"A","false","false","true","0",NA,NA,"false","true"
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","false","false","true","false",NA,NA,"B","false","false","true","0",NA,NA,"false","true"
"201621279349300802","231365388","Philadelphia Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201621279349300802_public.xml","0","0","0","0",NA,NA,"A","0","0","1",NA,NA,NA,NA,NA
