"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SL_04_BIZTRANSAC_RELATIONSHIP","SL_04_BIZTRANSAC_AMT","SL_04_BIZTRANSAC_DESC","SL_04_BIZTRANSAC_SHARING_REV_X"
"201841299349301964","911405065","HANDS ON CHILDREN'S MUSEUM","2017","990","https://s3.amazonaws.com/irs-form-990/201841299349301964_public.xml","FORMA CONSTRUCTION IS PART OWNED BY A FORMER BOARD MEMBER OF THE MUSEUM.","79723","FORMA CONSTRUCTION PERFORMED EXHIBIT FABRICATION WORK.","0"
"201201819349300100","542062223","POQUOSON HISTORICAL AND CULTURAL MUSEUM FOUNDATION","2010","990","https://s3.amazonaws.com/irs-form-990/201201819349300100_public.xml","BOARD MEMBER","192279","REPAYMENT OF LOAN.","0"
"201630849349300203","411260780","Plains Art Museum","2014","990","https://s3.amazonaws.com/irs-form-990/201630849349300203_public.xml","Board Member Tom Dawson owns Dawson Insurance","28444","Plains Art Museum pays an insurance premium to Tom Dawson's insurance company, Dawson Insurance","0"
"201630849349300203","411260780","Plains Art Museum","2014","990","https://s3.amazonaws.com/irs-form-990/201630849349300203_public.xml","Wife of board member Jim Hambrick","36410","Naomi received compensation as an employee of the Organization","0"
"201520839349300782","237433886","PATUXENT RIVER NAVALAIR MUSEUM ASSN","2013","990","https://s3.amazonaws.com/irs-form-990/201520839349300782_public.xml",NA,NA,NA,"false"
"201823199349310397","066006559","American Clock and Watch Museum Inc","2017","990","https://s3.amazonaws.com/irs-form-990/201823199349310397_public.xml","Wife of Treasurer","18542","Part time postion","false"
"201722429349300512","223199269","STEPPING STONES MUSEUM FOR CHILDREN","2016","990","https://s3.amazonaws.com/irs-form-990/201722429349300512_public.xml","DIRECTOR (2016), SIGNIFICANT DONOR",NA,"ORGANIZATION ENTERED INTO A LINE OF CREDIT RELATIONSHIP TO BE USED FOR THE EXPANSION OF THE MUSEUM. CREDIT LINE IS SERVING AS BRIDGE FINANCING UNTIL PLEDGES AND DONATIONS ARE RECEIVED TO COVER CONSTRUCTION COSTS. TERMS OF CREDIT LINE ARE AN ARMS LENGTH TRANSACTION AND BASED ON CURRENT MARKET TERMS. LINE IS GUARANTEED AND SECURED WITH COLLATERAL PROVIDED BY THE RELATED PARTY. LINE WAS PAID OFF AS OF 12/31/16; HOWEVER, THE LINE REMAINS OPEN.","0"
"201302769349300515","351939811","ARCHERY HALL OF FAME AND MUSEUM INC","2012","990","https://s3.amazonaws.com/irs-form-990/201302769349300515_public.xml","Executive Director","15000","Office rent paid to Ex. Dir's business","false"
"201302769349300515","351939811","ARCHERY HALL OF FAME AND MUSEUM INC","2012","990","https://s3.amazonaws.com/irs-form-990/201302769349300515_public.xml","Executive Director","6228","Reimb for monthly office expense","false"
"201612849349300236","611655210","Litchfield Museum & Route 66","2015","990","https://s3.amazonaws.com/irs-form-990/201612849349300236_public.xml","President","14922","Total amount of payments made during the year on the construction loan described on Schedule L, Part II.","0"
