"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","FacilityNum","SH_05_HOSPITAL_WEBSITE","SH_05_HOSPITAL_STATE_LIC_NUM","SH_05_HOSPITAL_LIC_X","SH_05_HOSPITAL_MEDICAL_X","SH_05_HOSPITAL_CHILDREN_X","SH_05_HOSPITAL_TEACHING_X","SH_05_HOSPITAL_ER_24HOURS_X","SH_05_HOSPITAL_OTH","SH_05_HOSPITAL_FACILITY_GROUP","FacilityNumber","SH_05_HOSPITAL_CRITICAL_ACCESS_X","SH_05_HOSPITAL_RSRCH_FACILITY_X","SH_05_HOSPITAL_SUBORD_EIN","SH_05_HOSPITAL_ER_OTH_X"
"201603199349303430","560554230","THE PRESBYTERIAN HOSPITAL","2015","990","https://s3.amazonaws.com/irs-form-990/201603199349303430_public.xml","1","WWW.NOVANTHEALTH.ORG","H0010","X","X","X",NA,"X",NA,"A",NA,NA,NA,NA,NA
"201603199349303430","560554230","THE PRESBYTERIAN HOSPITAL","2015","990","https://s3.amazonaws.com/irs-form-990/201603199349303430_public.xml","2","WWW.NOVANTHEALTH.ORG","H0282","X","X",NA,NA,"X",NA,"A",NA,NA,NA,NA,NA
"201603199349303430","560554230","THE PRESBYTERIAN HOSPITAL","2015","990","https://s3.amazonaws.com/irs-form-990/201603199349303430_public.xml","3","WWW.NOVANTHEALTH.ORG","H0010","X","X",NA,NA,NA,NA,"A",NA,NA,NA,NA,NA
"201732229349301258","060646668","Hartford Hospital","2015","990","https://s3.amazonaws.com/irs-form-990/201732229349301258_public.xml","1","hartfordhospital.org","0046","X","X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA
"202121339349304547","824432109","GSL HOSPITAL","2019","990","https://s3.amazonaws.com/irs-form-990/202121339349304547_public.xml","1","WWW.GEISINGERSTLUKES.ORG","24870101","X","X",NA,NA,"X",NA,"1",NA,NA,NA,NA,NA
"201221249349300422","450226553","Mercy Hospital of Valley City","2010","990","https://s3.amazonaws.com/irs-form-990/201221249349300422_public.xml",NA,NA,NA,"X","X",NA,NA,"X",NA,NA,"1","X",NA,NA,NA
"201133159349304128","940382780","CHINESE HOSPITAL ASSOCIATION","2010","990","https://s3.amazonaws.com/irs-form-990/201133159349304128_public.xml",NA,NA,NA,"X","X",NA,NA,"X",NA,NA,"1",NA,NA,NA,NA
"201101339349300320","222674014","EXETER HOSPITAL INC","2009","990","https://s3.amazonaws.com/irs-form-990/201101339349300320_public.xml",NA,NA,NA,"X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"202001929349302180","520491660","Harbor Hospital Inc","2018","990","https://s3.amazonaws.com/irs-form-990/202001929349302180_public.xml","1",NA,NA,"X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA
"201403089349300925","314379519","LICKING MEMORIAL HOSPITAL","2013","990","https://s3.amazonaws.com/irs-form-990/201403089349300925_public.xml","1",NA,NA,"X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"201513209349311276","942823538","MARIN GENERAL HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201513209349311276_public.xml","1",NA,"110000361","X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA
"201343189349305989","221487307","THE VALLEY HOSPITAL INC","2012","990","https://s3.amazonaws.com/irs-form-990/201343189349305989_public.xml",NA,NA,NA,"X","X",NA,NA,"X",NA,NA,"1",NA,NA,NA,NA
"201922269349302212","264019868","Viera Hospital Inc","2017","990","https://s3.amazonaws.com/irs-form-990/201922269349302212_public.xml","1","https://hf.org/hospitals_services/vier","FL State License #: 4504","X","X",NA,NA,"X","Acute Care Hospital",NA,NA,NA,NA,NA,NA
"201133199349306598","010211783","Calais Regional Hospital","2010","990","https://s3.amazonaws.com/irs-form-990/201133199349306598_public.xml",NA,NA,NA,"X","X",NA,NA,"X",NA,NA,"1","X",NA,NA,NA
"201911359349303341","344451872","GALION COMMUNITY HOSPITAL","2017","990","https://s3.amazonaws.com/irs-form-990/201911359349303341_public.xml","1",NA,NA,"X","X",NA,NA,"X",NA,NA,NA,"X",NA,NA,NA
"201911359349303341","344451872","GALION COMMUNITY HOSPITAL","2017","990","https://s3.amazonaws.com/irs-form-990/201911359349303341_public.xml","2",NA,NA,"X","X",NA,NA,"X",NA,NA,NA,"X",NA,NA,NA
"201911359349303341","344451872","GALION COMMUNITY HOSPITAL","2017","990","https://s3.amazonaws.com/irs-form-990/201911359349303341_public.xml","3",NA,"1532","X","X",NA,NA,"X",NA,NA,NA,NA,NA,"474992388",NA
"202041929349301899","470379755","Good Samaritan Hospital","2018","990","https://s3.amazonaws.com/irs-form-990/202041929349301899_public.xml","1","www.gshs.org","070001","X","X",NA,NA,"X","ACUTE HOSPITAL","A",NA,NA,NA,NA,NA
"202041929349301899","470379755","Good Samaritan Hospital","2018","990","https://s3.amazonaws.com/irs-form-990/202041929349301899_public.xml","2","www.gshs.org","070002","X",NA,NA,NA,NA,"PSYCHIATRIC HOSPITAL","A",NA,NA,NA,NA,NA
"201313189349304366","131740119","Nyack Hospital","2012","990","https://s3.amazonaws.com/irs-form-990/201313189349304366_public.xml",NA,"http://www.nyackhospital.org/",NA,"X","X",NA,NA,"X",NA,NA,"1",NA,NA,NA,NA
"201232229349301208","910564748","SEATTLE CHILDREN'S HOSPITAL","2010","990","https://s3.amazonaws.com/irs-form-990/201232229349301208_public.xml",NA,NA,NA,"X","X","X","X","X",NA,NA,"1",NA,"X",NA,NA
"201702219349301515","131624096","THE MOUNT SINAI HOSPITAL","2015","990","https://s3.amazonaws.com/irs-form-990/201702219349301515_public.xml","1","HTTP://WWW.MOUNTSINAI.ORG","7002024H","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,"X"
"201602109349300920","370661199","DECATUR MEMORIAL HOSPITAL","2014","990","https://s3.amazonaws.com/irs-form-990/201602109349300920_public.xml","1","WWW.DMHCARES.ORG","ILLINOIS 0000471","X","X",NA,NA,"X","ACUTE CARE & LONG TERM CARE",NA,NA,NA,NA,NA,NA
"201521349349305957","620646012","ST JUDE CHILDREN'S RESEARCH HOSPITAL INC","2013","990","https://s3.amazonaws.com/irs-form-990/201521349349305957_public.xml","1","WWW.STJUDE.ORG","TN STATE LI","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA
