"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_03_GRANT_US_INDIV_TYPE_GRANT","SI_03_GRANT_US_INDIV_NUM","SI_03_GRANT_US_INDIV_AMT_CASH","SI_03_GRANT_US_INDIV_AMT_NONCSH","SI_03_GRANT_US_INDIV_MOV","SI_03_GRANT_US_INDIV_DESC_NONCSH"
"201310719349300306","060653120","MYSTIC SEAPORT MUSEUM INC","2011","990","https://s3.amazonaws.com/irs-form-990/201310719349300306_public.xml","EDUCATION SUMMER CAMPS","1","138",NA,NA,NA
"201842779349300629","751762849","TEXAS & SOUTHWESTERN CATTLE RAISERS'","2017","990","https://s3.amazonaws.com/irs-form-990/201842779349300629_public.xml","SCHOLARSHIPS - ANIMAL/AGRICULTURAL","21","30375",NA,NA,NA
"201842779349300629","751762849","TEXAS & SOUTHWESTERN CATTLE RAISERS'","2017","990","https://s3.amazonaws.com/irs-form-990/201842779349300629_public.xml","MARY & LEONARD STILES SCHOLARSHIP","1","5750",NA,NA,NA
"201842779349300629","751762849","TEXAS & SOUTHWESTERN CATTLE RAISERS'","2017","990","https://s3.amazonaws.com/irs-form-990/201842779349300629_public.xml","LARGE VET SCHOLARSHIPS","4","20000",NA,NA,NA
"201842779349300629","751762849","TEXAS & SOUTHWESTERN CATTLE RAISERS'","2017","990","https://s3.amazonaws.com/irs-form-990/201842779349300629_public.xml","RANCHER RELIEF FUNDS","32","614993",NA,NA,NA
"201203149349300440","231370501","FRANKLIN INSTITUTE","2011","990","https://s3.amazonaws.com/irs-form-990/201203149349300440_public.xml","BOWER AWARD AND PRIZE FOR ACHIEVEMENT IN SCIENCE","1","250000",NA,NA,NA
"201613199349302071","311139447","EITELJORG MUSEUM OF AMERICAN INDIANS","2015","990","https://s3.amazonaws.com/irs-form-990/201613199349302071_public.xml","FELLOWSHIPS - UNRESTRICTED HONORARIUM TO FACILITATE THE RECIPIENTS' CONTINUED GROWTH AS CREATIVE ARTISTS.","5","125000",NA,"CASH",NA
"202121379349304502","541042825","SOUTHEASTERN MUSEUMS CONFERENCE","2019","990","https://s3.amazonaws.com/irs-form-990/202121379349304502_public.xml","Travel Assistance","24","9000",NA,"FMV",NA
"201932209349300208","536001666","National Gallery of Art","2017","990","https://s3.amazonaws.com/irs-form-990/201932209349300208_public.xml","Research fellowships awarded each fiscal year by the Gallery's Center for Advanced Study in the Visual Arts. The fellowships are designed to promote scholarship in art and architecture.","66","991845","206600","Fair market value","Housing"
"202012899349302466","880167875","BOULDER CITY MUSEUM & HISTORICAL","2019","990","https://s3.amazonaws.com/irs-form-990/202012899349302466_public.xml","GRANTS SCHOLARSHIPS",NA,"12000",NA,NA,NA
"201221359349302722","941696494","The Exploratorium","2010","990","https://s3.amazonaws.com/irs-form-990/201221359349302722_public.xml","Fellowships","3","17000",NA,NA,NA
"201312269349302466","916174771","WHATCOM MUSEUM FOUNDATION","2012","990","https://s3.amazonaws.com/irs-form-990/201312269349302466_public.xml","LINGUISTIC STUDIES SCHOLARSHIPS","11","27455",NA,"FMV",NA
"201613089349300116","510070531","Eleutherian Mills-Hagley Foundation Inc","2015","990","https://s3.amazonaws.com/irs-form-990/201613089349300116_public.xml","Fellowship & research grants","41","38950",NA,"FMV",NA
