"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","F9_08_REV_MISC_DESC","F9_08_REV_MISC_TOT","F9_08_REV_MISC_EXCL","F9_08_REV_MISC_BIZCODE","F9_08_REV_MISC_UBIZ","F9_08_REV_MISC_RLTD"
"201843189349301629","590896343","ORLANDO SCIENCE CENTERINC","2017","990","https://s3.amazonaws.com/irs-form-990/201843189349301629_public.xml","ONLINE BOOKING FEES","34580","34580","812900",NA,NA
"201222229349301242","470556061","THE DURHAM MUSEUM","2011","990","https://s3.amazonaws.com/irs-form-990/201222229349301242_public.xml","GIFT SHOP & SODA FOUNT","331987",NA,"453220","331987",NA
"202131349349307748","201470992","SHAREWELL","2019","990","https://s3.amazonaws.com/irs-form-990/202131349349307748_public.xml","OTHER INCOME","92665","92665","900099",NA,NA
"201930109349301803","391033301","EAA Aviation Foundation Inc","2017","990","https://s3.amazonaws.com/irs-form-990/201930109349301803_public.xml","UBI TAX REFUND","941","941","900099",NA,NA
"201930109349301803","391033301","EAA Aviation Foundation Inc","2017","990","https://s3.amazonaws.com/irs-form-990/201930109349301803_public.xml","MISCELLANEOUS","81","81","900099",NA,NA
"201422169349300427","314440065","RAILWAY TIE ASSOCIATION INC","2013","990","https://s3.amazonaws.com/irs-form-990/201422169349300427_public.xml","CONVENTION SEMINAR","295574",NA,"900099",NA,"295574"
"201422169349300427","314440065","RAILWAY TIE ASSOCIATION INC","2013","990","https://s3.amazonaws.com/irs-form-990/201422169349300427_public.xml","RESEARCH PROJECT INCOME","31155",NA,"900099",NA,"31155"
"201422169349300427","314440065","RAILWAY TIE ASSOCIATION INC","2013","990","https://s3.amazonaws.com/irs-form-990/201422169349300427_public.xml","GAINS ON INVESTMENTS","-17122",NA,"900099",NA,"-17122"
"201401059349301205","237105904","BRUCE MUSEUM INC","2012","990","https://s3.amazonaws.com/irs-form-990/201401059349301205_public.xml","UBI FROM PASS-THROUGHS","-3118",NA,"900099","-3118",NA
"201932259349301558","471711491","VIZCAYA MUSEUM AND GARDENS TRUST INC","2017","990","https://s3.amazonaws.com/irs-form-990/201932259349301558_public.xml","MISCELLANEOUS INCOME","17416","17416","900099",NA,NA
"201842749349300634","951880698","Catalina Island Museum","2017","990","https://s3.amazonaws.com/irs-form-990/201842749349300634_public.xml","Other income","68429","68429","900099",NA,NA
"201923039349300947","592832971","YOUNG AT ART OF BROWARD INC","2018","990","https://s3.amazonaws.com/irs-form-990/201923039349300947_public.xml","OTHER REVENUE","6413","6413","611710",NA,NA
"201913019349300811","596214423","THE JOHN & MABLE RINGLING MUSEUM OF ART","2018","990","https://s3.amazonaws.com/irs-form-990/201913019349300811_public.xml","MISCELLANEOUS REVENUE","80766","80766","713990",NA,NA
"201913019349300811","596214423","THE JOHN & MABLE RINGLING MUSEUM OF ART","2018","990","https://s3.amazonaws.com/irs-form-990/201913019349300811_public.xml","SALES OF PHOTOS","2165",NA,"713990",NA,"2165"
"201810869349301126","721200790","The National World War II Museum Inc","2016","990","https://s3.amazonaws.com/irs-form-990/201810869349301126_public.xml","Other revenue","1063995",NA,"900099",NA,"1063995"
"201810869349301126","721200790","The National World War II Museum Inc","2016","990","https://s3.amazonaws.com/irs-form-990/201810869349301126_public.xml","Tax Credits and Incentives","6636",NA,"900099",NA,"6636"
"201702639349300320","430654866","Missouri Historical Society","2016","990","https://s3.amazonaws.com/irs-form-990/201702639349300320_public.xml","Facilities & Catering","115094",NA,"611600",NA,"115094"
"202101339349302495","136162659","American Museum of Natural History","2019","990","https://s3.amazonaws.com/irs-form-990/202101339349302495_public.xml","FOOD SALES","2354538","2354538","900099",NA,NA
"202101339349302495","136162659","American Museum of Natural History","2019","990","https://s3.amazonaws.com/irs-form-990/202101339349302495_public.xml","PARKING","1637623","1637623","812930",NA,NA
"202101339349302495","136162659","American Museum of Natural History","2019","990","https://s3.amazonaws.com/irs-form-990/202101339349302495_public.xml","OTHER","427617","427617","900099",NA,NA
"201330649349300128","866006371","TUCSON MUSEUM OF ART AND HISTORIC BLOCK INC","2011","990","https://s3.amazonaws.com/irs-form-990/201330649349300128_public.xml","MISCELLANEOUS","2972",NA,"900099",NA,"2972"
"201613209349312216","382144402","THE KALAMAZOO AVIATION HISTORY MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201613209349312216_public.xml","Miscellaneous Revenue","29546","24380","900099","5166",NA
"202033149349301613","581705722","ARKANSAS AIR AND MILITARY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202033149349301613_public.xml","HANGAR & ROOM RENTAL","21075","21075",NA,NA,NA
"202033149349301613","581705722","ARKANSAS AIR AND MILITARY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202033149349301613_public.xml","ARTIFACT DISPERSAL","1772","1772",NA,NA,NA
"201641979349301024","390806316","MILWAUKEE ART MUSEUM INC","2014","990","https://s3.amazonaws.com/irs-form-990/201641979349301024_public.xml","COMMERICAL PHOTO","51950",NA,"900099","51950",NA
"201641979349301024","390806316","MILWAUKEE ART MUSEUM INC","2014","990","https://s3.amazonaws.com/irs-form-990/201641979349301024_public.xml","PARKING","18388",NA,"900099","18388",NA
"201641979349301024","390806316","MILWAUKEE ART MUSEUM INC","2014","990","https://s3.amazonaws.com/irs-form-990/201641979349301024_public.xml","CATERING","555",NA,"900099","555",NA
"202021959349301742","136162659","American Museum of Natural History","2018","990","https://s3.amazonaws.com/irs-form-990/202021959349301742_public.xml","FOOD SALES","3629836","3629836","900099",NA,NA
"202021959349301742","136162659","American Museum of Natural History","2018","990","https://s3.amazonaws.com/irs-form-990/202021959349301742_public.xml","PARKING","2293150","2293150","812930",NA,NA
"202021959349301742","136162659","American Museum of Natural History","2018","990","https://s3.amazonaws.com/irs-form-990/202021959349301742_public.xml","OTHER","420536","420536","900099",NA,NA
"201921339349304747","381359510","THE DETROIT INSTITUTE OF ARTS","2017","990","https://s3.amazonaws.com/irs-form-990/201921339349304747_public.xml","OTHER MISC REVENUE","74053","29086","900099",NA,"44967"
"201921339349304747","381359510","THE DETROIT INSTITUTE OF ARTS","2017","990","https://s3.amazonaws.com/irs-form-990/201921339349304747_public.xml","ART, LECTURE AND DOCENT FEES","20059",NA,"900099",NA,"20059"
"201911759349300791","202423587","DUPAGE COUNTY HISTORICAL MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201911759349300791_public.xml","MISCELLANEOUS REVENUE","56","56",NA,NA,NA
"201941349349310519","112548304","STONY BROOK RADIOLOGY","2017","990","https://s3.amazonaws.com/irs-form-990/201941349349310519_public.xml","OTHER INTEREST (COMMON PAYMASTER, CLAIMS)","5780","5780","900099",NA,NA
