"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SL_02_LOAN_INT_NAME_PERS","SL_02_LOAN_PURPOSE","SL_02_LOAN_TO_ORG_X","SL_02_LOAN_AMT_ORIGIN_PRINCIPAL","SL_02_LOAN_BALANCE_DUE","SL_02_LOAN_DEFAULT_X","SL_02_LOAN_BOARD_APPROV_X","SL_02_LOAN_WRITTEN_AGREEMENT_X","SL_02_LOAN_RELATIONSHIP","SL_02_LOAN_INT_NAME_ORG_L1","SL_02_LOAN_FROM_ORG_X","SL_02_LOAN_INT_NAME_ORG_L2"
"201222769349200107","263649002","GALLERY 263 INC","2011","990EZ","https://s3.amazonaws.com/irs-form-990/201222769349200107_public.xml","DAVID CRAFT","FUND OPERATIONS","X","6588","6588","false","true","true",NA,NA,NA,NA
"201222769349200107","263649002","GALLERY 263 INC","2011","990EZ","https://s3.amazonaws.com/irs-form-990/201222769349200107_public.xml","ANNA NEWBOLD","FUND OPERATIONS","X","12147","12147","false","true","true",NA,NA,NA,NA
"201823099349300732","060811776","Lockwood-Mathews Mansion Museum of","2017","990","https://s3.amazonaws.com/irs-form-990/201823099349300732_public.xml","Arthur Porter Draper","Working Capital","X","25000","0","0","1","1","Trustee",NA,NA,NA
"201400139349300935","346555993","DUNHAM TAVERN MUSEUM","2012","990","https://s3.amazonaws.com/irs-form-990/201400139349300935_public.xml","CHRIS TUTTLE","LAND ACQUISITION AND BUILDING DEMOLITION","X","553000","553000","0","1","1",NA,NA,NA,NA
"202110699349301506","462885439","THE TRIAL LAWYER HALL OF FAME INC","2020","990","https://s3.amazonaws.com/irs-form-990/202110699349301506_public.xml",NA,"OPERATING LOAN","X","150000","120000","false","true","false","SEE SCH L, PART V","DUE TO LEVIN PAPANTONIO",NA,"LEVIN PAPANTONIO ET AL LAW FIRM"
"201921349349304257","208862731","Scottsdale Museum of the West Inc","2018","990","https://s3.amazonaws.com/irs-form-990/201921349349304257_public.xml","Michael J Fox","Split $ Life Ins",NA,"243574",NA,"false","true","true","Officer",NA,"X",NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,"X",NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"201801089349300605","822415567","National Museum of African Americans on Stamps","2017","990","https://s3.amazonaws.com/irs-form-990/201801089349300605_public.xml",NA,NA,NA,NA,NA,"false","false","false",NA,NA,NA,NA
"202040439349300219","352072847","THE REMNANT TRUST INC","2018","990","https://s3.amazonaws.com/irs-form-990/202040439349300219_public.xml","KRISTOPHOR BEX","RECEIVABLE FROM KRISTOPHOR FOR PERSONAL CHARGES ON COMPANY CREDIT CARD.",NA,NA,"189","0","1","0","KRISTOPHOR IS AN OFFICER OF THE ORGANIZATION.",NA,"X",NA
